Symbol;Name;Country;IPO Year;Sector;Industry
SCVX.WS;SCVX Corp. Redeemable warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50;;;;
SCWX;SecureWorks Corp. Class A Common Stock;United States;2016;Technology;Computer Software: Prepackaged Software
SCX;L.S. Starrett Company (The) Common Stock;United States;;Capital Goods;Industrial Machinery/Components
SCYX;SCYNEXIS Inc. Common Stock;United States;2014;Health Care;Major Pharmaceuticals
SD;SandRidge Energy Inc. Common Stock;;2016;Energy;Oil & Gas Production
SDC;SmileDirectClub Inc. Class A Common Stock;United States;2019;Health Care;Medical/Dental Instruments
SDGR;Schrodinger Inc. Common Stock;United States;2020;Health Care;Major Pharmaceuticals
SDHY;PGIM Short Duration High Yield Opportunities Fund Common Shares;;2020;;
SDPI;Superior Drilling Products Inc. Common Stock;;2014;Energy;Metal Fabrications
SE;Sea Limited American Depositary Shares each representing one Class A Ordinary Share;United States;2017;Consumer Services;Other Consumer Services
SEAC;SeaChange International Inc. Common Stock;United States;1996;Technology;Radio And Television Broadcasting And Communications Equipment
SEAH;Sports Entertainment Acquisition Corp. Class A Common Stock;United States;2020;Finance;Business Services
SEAH.U;Sports Entertainment Acquisition Corp. Units each consisting of one share of Class A Common Stock and one-half of one redeemable Warrant;United States;2020;;
SEAH.WS;Sports Entertainment Acquisition Corp. Redeemable Warrants each whole Warrant exercisable for one share of Class A Common Stock each at an exercise price of $11.50 per share;United States;;;
SEAS;SeaWorld Entertainment Inc. Common Stock;United States;2013;Consumer Services;Services-Misc. Amusement & Recreation
SEB;Seaboard Corporation Common Stock;United States;1996;Consumer Services;Farming/Seeds/Milling
SECO;Secoo Holding Limited ADR;China;2017;Consumer Services;Other Specialty Stores
SEDG;SolarEdge Technologies Inc. Common Stock;Israel;2015;Technology;Semiconductors
SEE;Sealed Air Corporation Common Stock;United States;;Basic Industries;Major Chemicals
SEED;Origin Agritech Limited Common Stock;China;;Consumer Non-Durables;Farming/Seeds/Milling
SEEL;Seelos Therapeutics Inc. Common Stock;United States;;Health Care;Major Pharmaceuticals
SEER;Seer Inc. Class A Common Stock;United States;2020;Capital Goods;Biotechnology: Laboratory Analytical Instruments
SEGR;Southeastern Grocers Inc.;;;;
SEIC;SEI Investments Company Common Stock;United States;1981;Finance;Investment Bankers/Brokers/Service
SELB;Selecta Biosciences Inc. Common Stock;United States;2016;Health Care;Major Pharmaceuticals
SELF;Global Self Storage Inc. Common Stock;United States;;Consumer Services;Real Estate Investment Trusts
SEM;Select Medical Holdings Corporation Common Stock;United States;2009;Health Care;Hospital/Nursing Management
SENEA;Seneca Foods Corp. Class A Common Stock;United States;;Consumer Non-Durables;Packaged Foods
SENEB;Seneca Foods Corp. Class B Common Stock;United States;;Consumer Non-Durables;Packaged Foods
SENS;Senseonics Holdings Inc. Common Stock;United States;;Capital Goods;Industrial Machinery/Components
SEPZ;Listed Funds Trust TrueShares Structured Outcome (September) ETF;United States;2020;;
SESN;Sesen Bio Inc. Common Stock;United States;2014;Health Care;Major Pharmaceuticals
SF;Stifel Financial Corporation Common Stock;United States;;Finance;Investment Bankers/Brokers/Service
SF.PRA;Stifel Financial Corporation;;;;
SF.PRB;Stifel Financial Corporation;;;;
SF.PRC;Stifel Financial Corporation;;;;
SFB;Stifel Financial Corporation 5.20% Senior Notes due 2047;United States;2017;Finance;Investment Bankers/Brokers/Service
SFBC;Sound Financial Bancorp Inc. Common Stock;United States;;Finance;Savings Institutions
SFBS;ServisFirst Bancshares Inc. Common Stock;United States;2014;Finance;Major Banks
SFE;Safeguard Scientifics Inc. New Common Stock;United States;;Finance;Finance/Investors Services
